"popularity","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence"
0,0.949,0.218,311373,0.0279,0.00131,-2.92807362508018,-3.10643823240895,-3.16533505794017,89.18,0.0388
34,0.993,0.272,480013,0.0215,0.952,-2.77258872223978,-3.13056820586719,-3.29954372793566,70.293,0.0835
38,0.957,0.208,244533,0.0326,0.969,-2.2730262907525,-3.04484482552053,-3.18447439815087,127.175,0.0367
41,0.85,0.295,248733,0.0968,0.934,-1.9173226922034,-2.52057683947809,-3.29144651770304,91.041,0.332
29,0.266,0.457,292467,0.557,5.21e-06,-1.76026080216868,-1.98022172125096,-3.59356927430961,96.019,0.162
28,0.98,0.0696,372120,0.0176,0.929,-2.24431618487007,-3.18951647365457,-3.04702556794154,75.767,0.0348
38,0.996,0.374,93387,0.00526,0.912,-2.61046987276335,-3.28798816404988,-2.93181894781034,69.813,0.386
40,0.914,0.24,246733,0.325,0.000398,-2.16282315061889,-2.36690689443615,-3.34104345884241,119.141,0.109
30,0.916,0.0773,287227,0.025,0.889,-2.46982101236996,-3.05612849984602,-3.07045581974993,80.83,0.0324
32,0.995,0.317,341920,0.139,0.908,-2.28278246569787,-2.79697803215836,-3.34955414851032,97.494,0.685
24,0.967,0.0812,186773,0.00632,0.0562,-2.23492644452023,-3.31195541065006,-2.99773427622466,81.596,0.0366
0,0.993,0.248,77333,0.134,0.904,-2.16282315061889,-2.46511549256103,-3.04492251774476,87.362,0.599
52,0.995,0.347,268160,0.0169,0.895,-2.45457144999193,-3.08851106336473,-3.27280416689376,68.711,0.116
21,0.933,0.16,512173,0.0744,0.761,-2.54465665419377,-2.82695064588878,-3.19907319757202,75.02,0.0761
37,0.949,0.391,210107,0.34,0.827,-2.20727491318972,-2.32400813282259,-3.18931702262666,83.812,0.501
34,0.809,0.187,254813,0.219,0.842,-2.12863178587061,-2.57349804011378,-3.32980738557548,139.423,0.0379
27,0.985,0.412,117360,0.0273,0.954,-2.13707065451647,-3.16860576833926,-3.25969781938846,124.538,0.289
